spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_30
7316.4,2101.4,6176.2,7125.7,5948.2,5004.3,7204.1,6986.4,4935.5,7129.6,4886.4,3495.8,4077.4,4482.7,7552.9,4950.8,6519.6,3916.7,6018.5,1932.4,6177.8,4410.6,4788.2,3835.6,6539.6,4282.8,5271.1,6364.2,2018.9
6733.5,1409.7,5195.1,8412.1,4920.5,4427.7,4808.4,6149.6,5695,6634.1,4467.6,4594.2,2080.6,5128.5,8451.7,4684.5,6490.8,5152.2,5819.4,1798,6679.7,2918.4,5069.6,4575,6389.2,4523,5084.2,6768.2,1550.9
6456.7,2508.2,6418.5,6955.9,5436.1,4912.6,7503.5,5129.1,7016.7,6501.8,4749.2,6111.3,3802.6,3357.6,7494.5,4469,7708.8,4425.6,5977.7,2424.9,7506.9,3995.7,6122.3,4444.1,5033.7,4237.5,4539.8,6794.7,3038.6
6459.6,0,5993.4,5679.6,4147,5200.5,6821.6,5679.1,6851.3,5987.8,5165.3,4378.1,3381,4551.5,6775.3,4337.3,5832.7,4780.5,5182.1,1948.4,8075.7,4097,5789.7,5776.1,4403.9,4230.4,3771.9,6376.5,2111.3
6319.1,2021.4,4995.3,0,4359.4,4578.9,5010,5573.9,6711.6,6444.6,4913.1,5548.1,3275.8,4525.1,7523,5051.2,6137.9,4511.2,5630.7,2659.1,6314.2,3317,6853.3,4082,6586.3,3953.4,3523.5,6147.4,2045.5
5744.2,0,5755.4,6465,4677.6,4181.1,5926.1,6496.4,5569.6,7460.6,5660.3,4591.9,4574.1,3244.3,6653.5,4256.4,5770.4,4648,4080,3181.9,6820.1,3421.1,5873.5,4042.8,5976.2,4098.6,3020.6,6622.1,2354.7
6036.6,0,5147.3,6523.5,5455.7,5181.5,6622.2,5934.9,5347.3,7289.8,4360,3936.6,3762.4,3696.8,7069,5071.4,5633.5,5707.1,3962.5,2259.9,7168.3,2157.5,4813,4679.4,3767.5,3255.6,5010.7,7465,2337.1
3658.7,0,5001.9,4973,4960.7,5837.2,6202.4,4581.9,5921.4,7144.4,6190.4,4954,2865.7,3678.1,8457.7,5472,6090.9,6600.3,4205.9,2312.2,7506.1,2093.8,6593.6,5590,5611.6,4885.4,5597.7,7676.9,1459.4
3926,0,5943.7,4366.3,4705.3,5467.4,7263.9,5733.1,6675.4,8598.5,6602,3584.9,2659.6,2950.3,6838.6,6942.1,5681.5,7303.9,3990.2,3879.2,8253,2015.5,4396.2,4793.4,4335.1,5834.8,3667.1,5538.2,2497.6
4415.2,0,6206.5,5983.2,5266.9,5280.6,7664.6,4563.4,6110.3,7218.1,5494.1,4678.7,2451.9,3732,6709.8,5963.5,3437.5,6491.1,4382.8,3791.4,6441.6,1641.7,5538.9,4301.7,7146.6,5176.7,3691.1,7421.2,2771.5
5418.5,0,6903.7,4637.2,6544.2,6337.2,4661.7,6075.8,5778.4,7511.2,6700.5,3752.3,1396,2651.3,7347.4,6951.7,4205.3,6776.5,5835.8,4870.5,7191,1797.1,4395.1,4358.2,6380.7,6485.7,4741,6553.1,3254
4985.9,0,5728.4,5239.8,6166.3,6692.3,5948.7,4189.2,6606.6,7506.4,7030.2,3765,2130.8,1685.1,7646.3,8014.4,4867.1,7247.7,5175.5,4370.6,7945,0,5102.8,5664.8,6902.8,6443.9,4724.4,5651.4,2281.1
6629.6,0,6499.8,4242.9,5668.8,6224.6,5810.2,5138.6,5719.7,6923.6,6627.7,4771.4,1986.8,2557.7,8732.2,7074.2,5216.3,7833.6,5568.1,4883.3,7407.9,1326,5499.4,5474.6,5919.5,6632.1,4140.7,6059.5,3145.6
