spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_30,spot_31,spot_32,spot_33,spot_34,spot_35,spot_36,spot_37
6833.3,0,1960.9,7580.9,2806.3,2699.9,4436.4,6895.9,0,5131.1,3303.9,5779.4,8142.3,4260.4,5592.3,8615.6,7608.4,9117.8,6494.3,3122.6,3344.9,6507.5,3250.6,3211.7,5494.6,3751,7842.5,0,7217.9,4531.8,3552,7373.5,5651.5,4202.4,9396.5,7739.7
6652.6,0,2826.5,7249,2191.9,1836.6,4766.7,6721,0,5878.1,4085.5,5427.5,8421,5351.5,8245.1,7931.5,7549.5,7449.4,7934.1,3575.8,2892.4,5887.7,2782.4,1851.5,7229,4681.1,6619.2,0,7360.3,3146.9,3519.2,7458.6,7026.8,4672.9,7956.9,8277.2
6845.2,0,1818.7,8058.7,2498.1,0,5685.3,6817.5,0,6053.6,4409.7,5236.1,9725.9,4229.9,7626.6,10331,6398.6,7695.8,6672.5,2617.4,2626.6,6631.2,3819.7,6941,6181.7,3734.8,6654.5,0,6835.6,3212.8,2854.6,8508.4,5641.6,1622.4,5330.2,7833.7
7144.3,0,2317.6,6663.9,2674.3,3767.3,5307.3,6022.7,0,6557.8,5187.5,3914.1,8932.5,3996.5,7603.2,8260,7846.2,8917.4,7320.2,3445.2,0,6778,1759.9,6480.2,5761.5,4626.8,5952.9,0,6268.4,3017.3,4081.8,7157.3,5517.5,4450.8,6596.6,7226.4
6025,0,2330.5,7385.1,3700.6,0,6996.4,6634.5,0,7570.3,5420.7,4672.5,8035.3,4003.9,7051.5,8638.3,8081,8537.7,7723.4,3107.9,0,5893.4,2654.6,6179.8,5447.7,4559.8,6178.7,0,6583.9,4525.3,2727.8,8377.7,6465.1,4860.8,6161.6,7430.1
5269.8,0,3063.5,8403.8,3805.4,3164.2,6175.8,8580.6,0,8960.1,6627.2,4809,7311.6,3970.6,7227.8,8622.5,9143.4,8221,8996.8,4288,0,8267.8,1904,4760.7,5189.3,6209.6,5291.8,0,7331.7,4709.5,2968.5,8753.9,4853.3,6169.5,6383.8,5254.5
5730.3,0,3076.2,7378.1,5338.4,2824.4,7991.9,7476.6,0,8991,5964.9,5242.6,7575.9,5015.8,5354.6,7420.9,8446.5,7928.2,9053.8,4486.9,0,6413.2,5881.4,7679.2,3028.1,4561.8,4615.4,0,6844.3,6414.1,3855.2,7401.8,6239.1,4898.2,7306.2,5002.7
6149.8,0,2927.1,9199.6,4260.5,2856,8317.2,7492.8,730.5,9449.8,8494,4805.5,7291.8,3951.5,5031.2,8329.3,7640.5,8600.9,8734.5,5211.8,0,8234.7,1829.9,4420.4,4278,6883.8,5609.5,0,7653.3,6810,2931.7,7444.6,6269.3,4783,6892.4,7756
5888,0,5467.2,9806.3,3532.2,0,7990.6,8422.4,0,9909.4,6427.6,5500.1,6571.1,4134.2,6039.9,7914.3,7589.9,7951.7,10777,6617.3,0,7341.1,3030.8,5197.5,3119.5,791.58,6189.8,0,8182.8,7749.9,4492.1,6557.5,6035.1,5911.3,6056.8,7244
8149.9,0,5483.5,10403,4448.3,2612.6,8969.9,8746.3,0,9036.6,4494.6,7268.6,4802.1,3624.8,5752.5,5624.2,8547.6,7510.3,8280.7,6192.9,0,8224.1,2271.3,4567.5,3948.1,5473.9,7087.1,0,9029.9,9432.6,4891.2,5577.5,5160,6145.3,4952.6,8199.5
7402.7,0,6024.7,8804.2,3624.8,0,9234.4,6690.6,0,9837.5,5412,5698.9,5389.7,4075.2,5443.5,5296.1,6408.3,10240,8660.8,6154,0,7202.3,1751.7,4119.6,3600.8,4136.5,7712.9,0,8283.7,8969.1,4516.6,7138.7,5495.5,2087.3,3958.3,7607.1
8467.7,0,6403,8707.4,5520,2767.2,10251,7774.7,2248.5,8826.3,4882.7,6035.7,6240.9,3524.7,5567.6,4571.6,7455.4,7810.4,8752.2,8254.8,2139.3,6756,2504.5,2427.7,3469.9,5272.6,7935.7,0,8156.5,7796.6,5076.6,7011.2,3595.9,2082.4,4302.2,7722.9
6558.6,0,7909.3,8903,4364.7,4527.2,7938.4,6805.2,0,9572,6306.9,5960.4,6644,3331.8,7999.2,4855.1,6148.9,7327.8,8837.1,10594,2589.3,6636.3,2859.6,2586.5,4249,4301.9,9270.7,0,5351.8,8669.8,4540.7,6974.7,3977.2,1719.4,4906.6,8596.2
5478.7,0,6440.6,8592.9,3933.7,4497.1,9418.2,7601.3,0,10254,6343.8,7599.1,6610.8,4546.7,7543.3,4620.7,4843.1,8167.4,6290,11390,2692,8615.6,3580.9,2760.8,3573.9,5225.9,7744.4,0,5906.5,8875.5,4717.6,8437.4,0,1706.4,4240.3,9088.1
5319.2,0,6868.5,7524.2,4196.8,4434.7,9118.1,6624.9,0,7782,8098.1,6763.1,5817.7,0,7898.4,3300,6081.1,7367.9,6674.1,9949.3,0,8271.4,3737.5,2205.2,4794.7,6266.4,8980.3,0,5505.3,9508.7,5070.5,6669.7,2048.2,1861.7,4290,9796.8
5090.6,0,7381.6,7114,5598.1,3869.4,7478.2,6328.4,0,9201.2,7087.6,5708,5409.6,3565.4,7353.5,3078.4,7240.1,6738,7015.8,10720,0,8811.1,2326.8,2811.5,4939.1,4900.4,6991.9,0,5168.4,8719.1,5047.2,7394.8,0,223.59,0,7465.4
4987.4,0,7595.6,5984.6,5835,5071,7380.9,5652.3,0,8573.6,7239,5675.4,8080,4691.7,7339,4459.1,4768.4,6973.2,6660.5,9469.2,0,8015.7,3411.3,0,5865.6,4437.4,7146,0,4343.7,9230.4,4456.4,7047.1,0,795.53,4827.4,7967.1
3921.1,0,7535.2,7316.5,6353.8,5964.4,8635.2,5357.1,0,9026,5836.6,6208.4,5745,2891.6,7083.9,3314.7,5337.6,7665.8,7089.8,11177,0,8011.7,3229.8,3521.9,5572.4,3940.2,10627,0,5398.1,8892.5,4625.9,8857.6,0,230.71,4417.3,5159.4
4782.3,0,6990.6,5625.2,7202.4,6558.8,7283.5,5346.4,0,10350,4487.6,5863.4,6499.7,3045.1,8126,4264.1,6771.5,6760.4,6933,10132,0,8153.1,4014.9,4410.7,6729.8,3463.7,9684.2,0,5239.8,8667.2,4956.8,8279.8,0,416.11,5279.9,6047.2
1043.3,0,6203.1,6100.2,8144.7,6516.8,7622.7,4997,66.383,9583,3115.9,6087.6,6382.5,0,6769.1,4230.1,6590.6,7339.7,5612.7,10903,0,7009.5,3911.9,4133.4,5999.6,3434.6,9742.8,0,8072.3,8053.5,7875.2,8136.5,0,0,5712,6764.8
7427.7,0,6247.9,4151.1,6226.2,9234.9,6009.8,3951.9,0,10932,3252.1,7162.9,7634,2866.5,6610.9,5064.5,5622.8,6659.6,6992.1,9097.9,0,7025.2,1434.9,5428.2,6288.2,3159,8081.3,0,8348,9875.5,6790.8,7182.4,0,0,5920.9,5660.3
7785.1,0,5479.2,5776,6819.7,9709.3,6648.8,4671.1,0,10151,3128.6,6055,7816.9,0,5848.3,5708.2,6120.5,7022.5,6291.3,12640,0,6320.3,2726.6,4867.2,6438.2,4425.2,7046,0,8111.6,9969.2,6773.9,5131,0,0,6120,6940.9
9637.3,0,4929.5,5795.8,5857.2,6160.5,6233.7,5389,0,10053,3252.6,7154.5,7070.8,3389.6,6634.2,6252.3,5953.2,7844.4,8531.5,11907,0,6915.6,4182,5130.4,7741.1,4158.1,7065.3,0,8313.4,9372,6059.4,5926.2,0,0,5206.7,5744.8
7442.5,0,4225.6,5846.5,6009.8,8113.9,8155.8,5918.3,0,9376.4,3907.1,7680.1,8649.4,2741.7,7876.5,7370.2,3613.5,7574.9,7440.1,10579,166.73,6306.2,6746.6,4431,6485.5,2894.4,6351.9,0,9066.8,8521.3,5372.9,5183.5,0,0,6520.9,5008.2
6298.1,0,4315,5533.9,6872.1,7245.7,7840.1,6110,0,9880.4,5368.2,7376.3,7159.6,2794.7,9088.7,6977.9,6002.9,6871.1,7388.7,10154,1305.6,2494.5,8609.5,5174.2,9327.5,4058.9,8452.7,0,8757.9,8762.3,7229.2,6594.8,0,0,5601.1,7095.3
7853.1,0,3730.3,5016.3,6539.8,7817.1,9739.8,4651.6,0,9852.2,4597.7,7873.8,8454.9,0,7831,7738.2,3869.7,6404.2,7287.9,10082,4574.6,3317.6,9233.3,4577.7,7574.2,4025.2,4058.8,0,8984.1,8202.2,6297.4,5208.3,0,0,7803.5,5653.4
8459.1,0,3993.5,5420.2,5443.2,6425.3,10754,5522.7,0,9142.4,4015,9221.8,8814.6,2710.1,7553.7,7750.7,4393.4,9112.8,7116.8,8375.9,4949.4,4217.8,4089.1,4540,9600.2,3338.8,4057.5,87.016,8527.8,5474.9,3554.3,5533.2,0,2941.1,6598.2,7551.6
