Spot_10,Spot_11,Spot_12,Spot_13,Spot_14,Spot_16,Spot_17,Spot_18,Spot_19,Spot_20,Spot_21,Spot_22,Spot_23,Spot_24,Spot_25,Spot_26,Spot_28,Spot_29,Spot_31,Spot_32,Spot_33,Spot_34,Spot_35,Spot_37,Spot_38,Spot_39,Spot_40,Spot_41,Spot_43,Spot_44,Spot_45,Spot_46,Spot_47,Spot_48,Spot_49,Spot_50,Spot_51,Spot_52,Spot_54,Spot_55,Spot_56,Spot_57,Spot_59,Spot_60,Spot_61,Spot_62,Spot_63,Spot_65,Spot_67,Spot_68,Spot_69,Spot_70,Spot_71,Spot_72,Spot_73,Spot_76,Spot_77,Spot_78,Spot_79,Spot_80,Spot_81,Spot_82,Spot_83,Spot_84,Spot_86,Spot_87,Spot_88,Spot_89,Spot_90,Spot_91,Spot_92,Spot_93,Spot_94,Spot_95,Spot_97,Spot_98
0,46370,41924,111805,118338,116544,122830,62672,78565,113478,118217,113787,125613,71387,122715,0,77270,69356,101321,54607,68203,70359,58848,92286,63381,91254,122762,37001,46657,81934,117584,96281,79380,101221,0,27802,124449,73863,78396,49612,67486,0,41421,70279,0,0,72616,81651,128561,101518,0,92503,0,70391,0,0,0,105720,0,18155,0,95102,78300,31850,19042,0,0,0,0,18556,61021,103082,0,0,131699,43061
0,66247,23450,92004,103280,62192,91827,57767,51044,107663,128231,66745,80091,64706,114689,31591,66754,66493,70512,80517,80368,74030,74086,27029,99196,49546,108915,75381,0,65052,107909,135216,114197,105794,0,41566,138333,74912,118190,38643,110716,0,15726,13386,0,0,65013,111949,109264,116319,0,89992,0,51637,0,0,0,97852,0,33761,0,73665,32970,52986,18286,0,0,0,0,0,90224,53666,0,0,95410,57104
0,45688,34961,104341,102522,134569,93647,16072,42093,104186,121851,91279,126873,69731,136136,66568,56758,91322,107337,77915,81613,96747,46123,60956,107597,63067,130246,90877,33685,67449,124874,132855,112360,113570,0,135587,76741,66266,146863,81156,45940,0,34414,0,0,0,71686,113641,121173,155193,0,109167,0,84733,0,0,0,43545,0,33015,0,97556,82025,20709,13182,0,0,0,0,0,130717,108337,0,0,107146,76732
0,38740,21999,155674,108614,108911,138166,80809,65406,96565,151864,67606,96162,38259,124052,57767,68086,67286,92811,73006,104591,71201,96783,50273,44551,41235,100937,95168,27477,74831,131494,77657,103420,103650,0,104745,138579,63569,102590,48559,63602,0,56337,31746,0,0,94020,72705,105520,136311,0,95011,0,98552,0,0,0,76145,35266,20722,0,54871,85523,35507,0,0,0,0,0,25115,131734,47311,0,0,117672,82634
0,44616,18142,122143,95591,119224,144049,90174,67887,124239,195965,130851,116998,69144,55593,22807,63456,65126,53118,89371,84552,91345,108810,69317,85484,59073,96619,103478,42599,45903,86222,125369,133311,136090,0,124031,80933,59177,117767,78413,61774,0,20536,0,0,0,98919,118404,117466,112091,0,103561,0,92502,15762,0,0,120526,0,32160,0,109221,73423,53738,39329,0,0,0,0,33109,116934,93281,0,0,120450,98945
0,62542,11078,115295,108989,93143,124505,35670,120004,92060,153589,118370,127064,53643,84209,0,65485,84097,43740,76059,69258,91261,87665,35471,80545,70115,110883,100251,0,42594,112033,133749,113310,91076,0,123100,104282,0,142899,87507,78719,0,33834,0,0,0,101790,126827,163655,154525,0,121062,0,96978,12583,0,0,99621,0,0,0,78754,93279,49778,19116,0,0,0,19025,0,129810,100506,0,0,125618,63709
0,46217,0,58700,84991,89849,95206,39161,111450,92091,170176,84775,103159,103860,69826,29406,78372,71716,94931,87942,87609,82568,65814,23367,109380,65235,101212,73926,42909,93316,139659,113737,88517,97492,0,84010,74751,76833,126454,69283,67541,0,42339,36128,0,0,115211,114592,78846,165652,0,44918,12360,144527,46010,0,0,94759,0,44324,0,85852,73175,40611,17440,0,0,0,0,0,121236,91586,0,0,147347,56020
0,57068,0,100254,92625,81366,136118,39931,88003,121800,132738,59928,117333,49691,115391,0,42803,54650,111102,83531,88999,86434,103352,20324,134669,72702,93792,89912,0,101754,123857,123249,95176,93893,0,118627,116130,64270,125372,55621,59624,0,47806,0,0,0,87805,117692,120196,125285,18790,92756,0,122541,15873,0,0,100176,0,0,0,70538,114095,9556,21627,0,0,0,0,0,166151,105878,0,0,105714,82941
0,22514,26825,85445,147525,77891,148813,42636,107480,97917,150123,68042,88140,86533,94266,53840,37792,58763,77961,73801,98651,116529,79380,0,92060,61616,82257,41175,38735,102881,105115,127915,107049,83863,0,106874,63053,28124,130470,30511,126575,0,40373,0,0,0,98464,111485,113287,144709,0,63947,0,98593,48689,0,0,111117,0,0,0,96845,144448,0,0,0,0,0,0,0,135957,122066,0,0,99342,97692
0,19883,25387,136980,84350,67497,147007,23872,126431,105415,145882,57077,129466,94143,87670,0,38741,57595,46403,81111,85495,98009,70108,0,85613,0,54662,88968,0,111662,155785,109816,87046,100029,0,50176,21128,47144,137497,41972,63543,0,22432,0,0,0,72015,125163,73157,141846,58134,84060,0,93228,21012,0,0,96620,0,79086,0,85164,66751,19147,27499,0,0,0,0,0,135936,109006,0,0,132998,99162
